STT,Ten_Xa,F,Q_tb,Q_tb_kiet,sigma,X_tb,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X_nam_i,X_nam_j,h_nam_i,h_nam_j,V_reservoirs,flood_hours,X,X_mean,sigma_spi,salinity_val,K,k,H,h,W_13,w_13,M_xc,m,N,n,P_xl,P,S,S_tn,S_cham,W_18,PA,W_19,demand_increase,TC_dt,TC_nt,Z,z,P_school,p_total,Q_school,p_total_24
657,Xã Khoen On,32.7,98.47,96.86,49.36,95.74,4.42,81.28,49.79,98.76,70.87,39.4,5.62,63.25,41.07,53.87,63.53,1.47,1.79,98.43,82.27,44.42,5.61,59.92,73.77,4.84,43.97,64.49,22.14,41.82,53.04,99.57,52.88,62.28,88.9,96.67,92.5,74.59,42.55,39.11,17.63,9.5,64.84,15.69,45.74,82.38,50.27,86.41,65.17,0.77,49.25,7.32,90.28,60.8,79
658,Xã Khổng Lào,41.77,99.73,83.05,41.6,60.87,54.96,8.76,56.99,81.2,19.79,49.15,56.48,55.39,79.35,9.51,31.34,81,38.76,2.32,18.88,29.85,85.36,70.84,60.98,30.73,63.61,1.9,50.68,88.34,42.99,64.88,40.68,63.3,67.66,85.47,4.29,38.27,48.56,86.47,59.75,64.54,59.35,78.34,89.96,16.26,69.23,7,20.11,89.71,88.29,82.08,74.55,17.43,83.23
659,Xã Khuất Xá,6.53,32.05,30.34,3.48,24.66,21.77,58.04,31.23,36.46,83.21,48.97,88.05,71.81,86.57,71.09,29.64,84.67,37.59,81.61,6.5,2.55,78.16,75.22,95.05,75.93,11.12,62.66,9.64,68.76,5.24,62.36,73.68,94.72,98.74,73.49,86.69,45.61,56.47,45.71,68.43,32.19,5.3,18.61,60.84,57.94,3.47,46.83,69.68,43.1,66.96,19.33,42.01,84.95,57.2
660,Xã Khúc Thừa Dụ,24.18,52.45,0.21,48.94,7.34,21.07,6.76,14.74,81.21,47.99,37.9,56.94,94.39,16.27,82.23,53.99,50.85,91.53,43.27,20.43,57.56,38.38,27.12,49.07,39.8,26.12,41.1,8.13,2.17,23.26,63.56,43.11,21.98,89.28,79.82,71.23,47.52,96.04,11.78,55.35,65.64,64.4,1.24,36,16.26,69.23,65.19,60.61,90.21,29.67,85.63,43.97,40.16,2.7
661,Xã Khun Há,43.88,44.76,11.91,0.84,95.15,53.67,34.94,26.6,21.34,61.89,60.12,51.44,27.69,88.14,32.75,14.47,73.2,48.99,49.11,90.08,46.27,62.57,45.12,61.54,35.99,23.04,24.97,65.58,36.7,37.79,28.31,55.26,15.86,57.29,76.97,69.98,38.19,38.74,59.09,20.41,9.26,30.19,40.72,68.53,2.24,98.82,41.49,45.18,24.09,2.44,65.09,98.16,64.03,17.08
662,Xã Khuôn Lùng,9.55,50.69,55.25,12.8,95.07,17.59,90.09,4.62,88.66,95.86,85.56,10.45,72.67,5.12,83.08,97.97,85.55,98.8,21.06,15.77,48.03,9.38,89.98,91.6,15.77,46.44,33.91,90.03,12.8,22.68,83.79,50.57,67.64,33.83,68.16,1.21,53.87,6.03,14.72,9.39,29.09,35.81,13.4,84.84,46.95,70.11,36.6,4.69,85.81,17.33,97.3,91.18,82.16,26.71
663,Xã Kiên Đài,48.38,71.04,47.37,54.05,67.87,87.19,56.83,37.1,86.57,26.4,90.51,31.71,47.6,63.94,56.67,48.2,49.82,89.4,58.89,8.98,18.07,36.26,46.96,69.79,32.88,84.31,5.36,37.46,15.19,21.76,99.77,71.51,98.22,40.57,89.52,78.33,97.36,23.79,96.24,96.95,78.29,55.95,96.22,90.91,73.1,43.68,40.5,85.59,83.03,95.09,3.46,62.78,74.12,79.69
664,Xã Kiến Hải,45.71,59.82,61.54,17.63,56.55,53.95,14.85,65.72,93.76,63.31,36.89,0.4,51.42,77.15,5.27,45.33,96.71,85.67,49.81,72.01,56.93,38.32,4.19,56.23,26.09,10.85,81.12,47.08,48.1,18.1,62.84,91.89,50.2,71.53,48.02,63.93,98.77,27.48,95.89,29.99,39.19,3.76,19.46,69.75,58.76,33.81,4.51,66.77,57.62,19.05,60.11,59.05,57.48,81.29
665,Xã Kiến Hưng,43.81,70.64,41.44,26.81,38.17,57.06,82.16,68.73,35.42,81.02,5.1,83.28,14.25,11.2,1.57,65.27,35.39,40.19,36.61,81.43,49.02,79.82,76.55,44.12,46.79,61.02,69.78,36.96,65.96,30.54,68.16,97.56,95.98,13.69,92.96,5.22,96.1,34.85,84.69,31.36,62.82,98.22,87.57,65.1,81.77,10.68,29.53,93.84,26.48,82.07,88.29,59.45,38.74,20.65
666,Xã Kiên Lao,15.48,74.03,48.3,53.84,2.7,48.43,25.01,81.19,82.85,67.6,5.74,53.29,17.42,29.78,25.68,65.15,94.26,85.09,77.6,10.75,94.47,36.13,84.13,14.18,4.28,58.4,86.43,78.67,93.82,35.4,25.76,74.71,73.44,7.79,7.95,54.07,48.65,32.77,81.7,52.7,28.95,73.91,71.85,8.02,48.11,84.49,81.44,43.43,82.78,80.9,34.33,37.17,28.91,78.67
667,Xã Kiến Minh,28.34,19.63,33.95,86.28,31.06,46.61,99.01,75.4,41.97,70.07,40.25,29.71,66.25,28.09,57.93,81.18,31.31,3.13,0.59,4.22,78.97,27.18,90.63,43.35,95.22,63.28,61.18,65.82,29.8,29.62,5.57,82.25,38.89,86.94,16.33,86.93,49.99,5.7,96.01,23.83,38.85,11.17,41.55,45.54,56.26,15.09,33.6,2.39,97.09,78.18,81.66,5.93,31.87,84.57
668,Xã Kiên Mộc,33.88,33.74,7.78,69.01,77.3,21.97,6.27,56.56,72.13,70.65,67.31,7.89,83.18,58.22,83.48,98.12,48.16,93.3,7.5,4.4,84.37,22.87,35.13,90.34,93,71.54,11.1,46.18,26.73,11.45,24.76,83.15,3.15,27.4,23.52,16.82,1.71,9.48,76.12,40.96,74.91,75.63,98.66,21.61,57.91,76.69,84.9,5.86,82.7,50.19,51.62,73.19,56.28,27.57
669,Xã Kiến Thiết,49.61,87.39,71.6,53.73,91.82,39.99,25.74,35.9,79.92,7.7,75.74,50.9,75.22,22.74,38.59,68.87,95.41,69.5,74.38,21.35,2.77,99.91,22.79,47.79,23.08,26.81,48.61,85.31,77.98,81.14,67.56,22.63,65.19,7.98,71.78,48.42,49.23,8.96,78.81,48.57,39.42,78.6,80.14,78.57,31.32,10.74,55.27,45.14,67.97,64.19,61.87,83.69,71.13,25.67
670,Xã Kiến Thụy,36.19,38.38,51.07,67.92,9.95,57.8,25.89,58.64,88.5,41.69,23.94,23.3,26.41,67.24,73.73,76.89,30.35,13.71,32.9,16.28,11.58,46.87,47.46,15.19,76.81,55.89,36.31,18.59,34.64,59.75,70.13,44.61,62.28,73.55,81.2,54.19,57.14,80.84,81.76,84.4,8.54,8.72,8.11,72.86,91.85,99.51,85.89,73.78,15.93,44.25,23.3,10.16,15.22,75.1
671,Xã Kiến Xương,20.88,48.57,21.69,9.56,47.55,48.17,92.77,58.8,53.69,45.05,32.63,17.61,43.91,45.92,87.96,55.91,85.11,20.97,37.1,34.05,47.46,29.74,15.87,51.39,31.09,27.47,81.78,6.23,85.39,62.33,45.6,36.43,87.64,58.31,33.44,3.1,28.37,80.41,29.99,70.06,65.44,96.44,78.23,83.2,20.15,75.24,14.74,59.04,96.69,10.99,74.89,31.58,40.41,49.13
672,Xã Kiều Phú,22.94,84.89,47.36,68.64,18.55,47.94,97.13,65.83,27.79,66.96,48.7,81.01,92.4,21.64,22.45,33.14,4.99,54.76,1.91,79.32,51.11,41.6,18.95,98.84,20.78,89.57,67.23,23.66,20.41,86.46,14.22,52.54,36.41,75.78,40.41,0.73,65.44,9.11,28.87,47.66,70.51,52.4,79.82,65.08,62.66,90.48,62.74,55.94,88.25,74.29,16.29,78.5,59.42,1.42
673,Xã Kim Anh,27.56,10.11,33.99,14.39,30.42,76.09,33.14,39.1,97,55.23,11.33,34.06,95.3,51.51,16.91,55.7,2.25,70.19,60.33,67.44,65.19,40.78,93.23,96.62,40.22,48.59,49.21,52.43,77.07,23.32,95.75,92.85,32.74,97.35,31.95,21.79,9.15,83.47,39.9,79.38,55.38,89.52,81.52,52.87,70.03,62.58,9.71,81.05,25.06,16.27,0.24,88.1,42.88,21.64
674,Xã Kim Bình,16.69,41.25,37.75,71.95,1.74,31.11,46.47,81.88,17.72,46.63,30.25,34.84,7.06,65.73,23.62,45.27,50.1,72.43,37.03,81.26,13.45,93.25,85.87,28.68,80.03,37.34,99.28,4.71,99.93,36.77,59.97,91.47,37.41,94.4,42.01,72.27,53.52,54.05,82.48,83.39,66.75,64.31,67.71,10.97,59.76,92.81,38.88,25.24,20.96,15.31,67.1,92.71,35.22,13.54
675,Xã Kim Bôi,11.95,37.22,97.32,6.53,22.84,0.38,17.05,22.76,24.44,44.88,95.44,47.82,38.27,91.26,50.98,15.3,30.61,9.14,96.56,96.07,73.49,6.16,56.79,98.66,32.76,60.26,16.12,38.28,70.7,50.42,28.87,21.92,29.33,94.28,96.65,54.13,0.4,76.1,90.25,23.7,46.11,35.58,6.11,28.92,37.92,46.39,36.39,30.68,31.59,46.6,36.83,91.57,21.85,16.59
676,Xã Kim Bon,13.13,90.78,25.61,32.55,53.78,26.67,94.39,25.6,87.93,40.96,27.36,49.81,58.9,25.83,71.2,31.55,61.59,23.03,43.95,32.25,82.46,40.34,78.48,90.42,53.45,55.42,48.29,41.22,5.68,35.43,20.25,50.85,94.69,98.9,86.97,98.65,68.78,42.5,58.01,22.47,92.35,1.32,63.57,47.58,40.63,93.85,57.3,37.58,67.56,11.41,3.41,30.66,14.61,24.71
677,Xã Kim Đồng,45.16,73.61,84.84,57.04,73.21,92.04,14.28,29.71,5.54,33.16,61.49,3.44,35.27,60.7,25.88,79.21,33.9,94.29,52.2,94.3,51.3,33.29,56.78,2.11,28.2,21.15,65.88,47.94,61.58,80.08,84.08,6.37,15.27,32.11,22.65,90.62,7.27,39.08,69.03,20.91,9.86,82.39,32.49,65.17,22.63,78.78,16.5,92.53,46.55,17.66,53.54,24.44,60.19,50.58
678,Xã Kim Phượng,30.45,65.45,17.16,83.75,60.17,12.89,59.06,59.94,19.53,77.89,38.55,78.99,26.95,51.85,40.51,23.64,14.88,99.17,45.59,47.07,3.76,8.89,21.45,42.53,96.38,54.48,84.58,25.15,49.79,78.03,24.34,60.25,87.8,20.26,41.13,37.71,12.37,55.8,48.95,71.75,58.27,86.62,73.95,22.16,63.68,40.36,54.58,26.13,99.36,37.54,64.66,38.11,73.75,60.37
679,Xã Kim Sơn,23,82.08,15.07,82.7,90.61,89,52.39,14.08,55.33,58.62,92.37,83.91,29.54,62.94,93.68,5.48,54.59,99.36,15.53,59.43,6.59,27.27,16.31,66.44,54.35,40.99,13.05,79.09,85.6,40.95,67.58,17.83,98.45,58.88,53.57,64.8,14.92,38.18,43.05,43.63,28.24,35.09,90.62,12.79,96.53,50.91,61.67,23.6,62.35,17.77,66.26,47.73,78.5,91.49
680,Xã Kim Tân,35.7,35.94,83.15,79.62,43.29,36.3,62.35,16.46,35.64,80.32,70.63,66.69,10.57,17.05,46.81,10.98,31.84,64.23,58.72,80.79,79.63,96.18,60.05,31.59,76.35,93.65,82.73,2.08,98.38,47.45,53.21,36.12,30.9,74.72,27.61,96.37,29.33,53.2,73.37,36.83,89.64,20.95,91.64,67.82,75.86,61.23,52.68,18.68,98.18,45.14,66.19,18.58,64.39,65.8
681,Xã Kim Thành,40.86,58.33,63.93,66.96,71.68,40.42,68,96.82,30.9,58.46,44.85,73.02,11.51,60.09,25.8,21.15,78.39,92.67,71.94,99.75,44.21,27.91,15.66,75.5,2.84,27.61,63.81,55.23,2.38,88.97,72.39,50.65,54.31,83.76,51.43,56.63,94.89,19.14,79.23,3.03,11.91,85.01,31.86,37.61,49.96,15.56,10.06,50.66,66.69,77.82,66.12,9.81,14.04,7.32
682,Xã Kỳ Thượng,19.35,31.44,88.49,13.86,62.67,76.9,75.24,27.83,79.72,47.61,18.78,32.36,18.94,34.19,58.12,48.34,25.72,0.83,8.61,98.6,36.06,63.94,62.91,85.14,41.41,99.09,13.81,40.39,65.09,98.57,82.56,39.83,34.39,35.91,24.29,64.12,64.68,79.93,28.62,47.44,28.46,53.16,3.74,4,84.87,64.66,13.05,91.29,86.67,35.83,69.56,81.15,66.91,62.94
683,Xã La Bằng,37.41,87.3,8.02,27.3,74.44,67.21,10.48,79.63,67.49,89.44,46.65,24.64,51.81,88.29,80.57,86.53,20.65,99.69,44.25,6.5,79.63,37.56,19.81,14.29,31.77,67.78,89.34,31.88,79.7,11.18,20.14,3.23,87.7,26.21,75.17,91.55,60.99,81.48,59.93,97.59,4.03,36.85,63.41,97.08,22.32,32.44,17.12,31.15,7.34,0.46,90.25,24.6,53.54,7.94
684,Xã La Hiên,45.97,28.77,30.23,90.36,83.91,2.97,68.95,50.75,72.97,94.5,17.08,80.02,86.97,66.62,66.31,64.39,21.09,87.87,84.28,49.04,94.42,68.61,59.29,21.29,88.21,95.09,20.76,49.83,84.56,18.43,97.86,12.89,62.77,70.12,95.04,99.45,14.23,67.98,65.6,88.82,0.19,82.66,34.48,32.67,3.31,55.36,58.53,17.98,50.21,55.09,23.92,91.79,28.19,39.66
685,Xã Lạc Đạo,27.13,23.87,5.14,34.76,50.97,52.81,36.5,37.78,78.58,6.63,1.67,8.25,94.09,53.64,75.91,96.59,37.64,59.21,93.51,78.57,26.57,30.94,21.98,42.5,86.16,39.61,59.62,95.83,69.1,7.5,36,58.82,56.01,52.22,78.35,45.84,91.53,14.25,11.34,67.7,55.85,39.66,26.83,25.18,94.74,85.17,92.02,98.04,16.05,38.15,93.69,94.63,84.62,50.16
686,Xã Lạc Lương,23.97,81.38,46.55,51.68,55.32,70,39.99,61.42,73.73,15.39,88.26,2.74,84.39,38.44,15.17,64.97,92.85,86.49,14.64,76.15,1.82,86.55,15.81,54.97,19.13,45.32,37.23,74.38,72.21,63.84,57.87,70.63,64.27,57.04,35.17,77.65,44.47,33.46,32.34,97.53,12.64,95.37,70.97,61.81,89.19,44.07,77.38,50.05,73.89,71.23,3.59,53.7,88.86,84.72
687,Xã Lạc Phượng,29.42,60.18,61.44,38.45,15.32,67.34,29.37,44.32,53.44,88.59,22.21,74,74.07,19.82,42.47,33.83,85.39,64.79,44.99,39.65,83.57,13.2,17.55,69.2,31.64,19.49,73.84,35.45,58.46,79.73,99.78,20.52,21.56,56.4,25.03,73.27,31.88,94.42,42.4,17.4,70.29,2.5,22.33,71.62,64.38,83.71,6.9,35.89,18.69,42.74,5.41,59.05,7.38,22.06
688,Xã Lạc Sơn,26.26,78.25,51.55,87.63,48.33,52.13,64.98,79.32,81.48,63.22,43.12,52.24,69.23,59.36,68.14,91.39,41.19,28.34,77.54,71.66,73.99,34.92,4.07,13.94,84.24,37.74,92.85,71.17,57.91,62.51,62.59,41.98,71.53,81.88,23.58,20.36,95.17,3.33,8.79,61.9,77.57,19.16,50.33,10.01,18.97,78.13,41.81,87.46,10.24,97.38,90.99,51.86,99.83,88.91
689,Xã Lạc Thủy,35.44,61.26,36.44,4.82,22.28,97.56,76.7,55.06,27.12,99.33,39.89,75.11,96.67,45.71,59.92,70.89,46.7,19.46,4.34,43.29,77.21,80.21,33.49,32.75,10.93,22.36,20.03,12.53,47.92,8.99,58.48,27.83,12.57,16.97,91.82,5.26,52,61.5,60.22,2.51,34.51,66.13,45.67,28.3,14.85,20.45,76.6,44.26,10.07,67.84,48.47,86.75,53.72,8.46
690,Xã Lai Đồng,40.25,58.53,32.91,10.75,84.66,68.16,98.81,7.4,54.79,3.7,93.86,39.29,28.59,55.49,65.82,80.35,2.54,10.53,90,2.18,67.17,74.42,82,12.72,84.24,28.91,52.05,25.79,90.18,9.29,1.5,0.94,17.73,23.68,23.12,8.51,81.07,70.48,97.48,51.01,70.36,4.64,68.59,39.07,56.15,59.97,20.32,69.2,27.5,34.42,42.11,61.82,40.07,88.64
691,Xã Lai Khê,45.74,7.08,35.08,6.28,42.99,60.84,23.7,92.65,44.89,67.91,15.76,15.1,16.51,7.84,34.28,62.24,83.86,33.59,14,24.21,76.11,63.32,57.59,9.71,47.2,12.99,8.26,33.12,64.5,84.09,2.39,13.75,95.43,1.14,51.01,43.63,66.14,37.37,31.92,75.78,54.32,58.47,71.36,80.01,54.47,8.09,73.88,98.51,67.97,82.81,27.99,43.14,43.5,39.32
692,Xã Lai Thành,33.58,26.91,97.8,80.44,62.2,7.03,90.5,42.33,0.1,97.9,38.52,46.41,2.64,64.78,90.17,6.49,2.37,5.66,22.54,10.99,71.65,16.42,76.39,45.79,47.31,91.77,21.7,16.35,34.99,0.82,95.69,94.25,77.85,85.6,15.62,70.6,24.31,54.62,9.94,91.31,29.47,30.32,47.85,72.09,55.31,66.6,5.51,97.3,79.08,15.67,58.26,6.91,34.23,42.1
693,Xã Lâm Bình,46.45,29.43,6.99,89.24,20.8,54.14,6.14,28.82,86.93,39.63,84.05,54.23,43.35,23.34,67.15,1.35,55.35,31.1,20.15,32.52,56.3,72.9,75.99,66.54,44.11,67.42,89.29,34.46,0.82,25.98,94.61,21.79,59.56,84.2,42.4,86.93,76.38,99.67,62.56,89.2,55.46,69.94,25.98,75.89,35.17,9.04,27.48,55.24,57.12,39.54,1.6,76.13,1.07,70.82
694,Xã Lâm Giang,32.89,44.87,29.36,43.4,92.34,22.39,29.27,98.66,80.64,85.97,54.06,51.55,28.69,76.04,83.78,50.5,39.62,46.1,97.96,82.12,40.8,24.22,15.11,94.83,28.08,84.8,11.21,32.3,88.01,99.03,60.8,78.97,41.03,23.14,28.53,6.65,42.67,25.53,93.62,21.1,5.65,54.38,22.94,86.12,75.53,52.51,52.12,94.04,90.09,45.62,36.42,0.21,25.46,24.51
695,Xã Lâm Thao,47.52,91.04,97.08,61.27,4.82,6.81,62.9,19.79,43.22,62.93,99.7,40.4,46.45,21.2,12.62,25.32,89.89,53.23,72.26,97.28,76.03,58.55,95.46,26.53,67.64,42.29,25.07,58.84,5.8,22.19,33.22,34.08,67.7,84.76,83.52,4.41,85.94,2.33,7.14,54.89,98.04,38.6,35.96,44.45,45.57,70.29,26.03,15.93,65.14,74.54,45.04,85.77,61.15,22.92
697,Xã Lâm Thượng,8.08,21.23,85.62,84.7,30.46,37.2,55.18,0.79,2.95,82.8,15.05,8.35,16.26,24.89,44.68,91.83,91.67,10.15,83.74,99.26,97.51,17.87,82.29,70.88,10.16,24.27,63.09,32.94,18.87,38.14,39.39,77.6,57.89,0.71,42.26,38.66,15.21,22.49,90.19,5.32,65.3,46.85,31.63,92.83,96.56,38.58,44.12,88.54,87.68,27.9,18.2,98.84,46.08,96.76
698,Xã Lam Vỹ,11.79,60.79,50.41,49.91,57.83,97.9,63.29,37.32,67.38,31.27,63.74,18.5,31.95,23.48,8.87,61.32,12.18,66.72,86.9,71.64,93.46,67.6,66.4,33.54,96.63,2.84,27.52,41.21,84.61,76.48,62.99,24.37,49.82,28.17,96.93,86.36,46.31,63.33,24.98,91.13,70.71,41.22,14.29,14.48,36.47,93.37,24.04,34.05,62,79.2,63.15,38.8,15.35,16.55
699,Xã Lạng Giang,27.41,77.45,80.05,86.85,6.5,73.23,6.88,83.39,88.38,50.67,88.19,14.96,71.25,36.73,41.44,94.71,25.69,19.08,75.54,16.29,1.67,53.55,74.7,85.58,69.84,48.51,63.03,65.14,79.37,12.79,1.28,73.99,5.99,46.66,37.47,37.21,16.32,5.12,29.01,13.74,10.93,62.61,94.89,87.53,31.04,39.62,19.88,42.23,0.39,46.55,97.07,26.92,13.05,17.13
700,Xã Lao Chải,27.11,77.58,4.01,16.8,93.84,27.34,20.24,98.41,3.26,52.81,72.32,34.28,64.32,54.8,9.3,64.13,67.83,79.05,43.21,5.77,66.95,11.93,1.21,97.52,32.18,87.88,7.64,44.75,68.86,30.61,75.06,6.55,33.58,25.06,60.79,19.72,50.52,62.82,60.65,90.55,87.79,83.36,10.35,32.54,36.32,12.39,45.06,26.88,59.35,3.98,36.71,47.08,62.68,74.43
702,Xã Lập Thạch,7.41,52.72,96.01,38.53,26.83,75.38,46.11,54.37,28.81,90.08,75.46,26.93,97.16,76.78,73.81,16.09,41.75,45.39,81.9,90.45,16.85,63.92,55.97,50.5,56.01,39.37,14.14,88.76,64.67,14.84,41.15,62.56,37.09,66.37,42.73,82.15,59.31,96.46,47.96,81.28,91.68,76.19,23.99,96.1,51.85,90.66,86.12,92.56,39.83,35.36,15.79,31.87,49.9,16.56
703,Xã Lê Lợi,33.72,33.48,72.26,43.15,29.76,5.01,7.21,31.85,4.79,46.33,66.54,2.21,69.46,78.36,88.23,88.36,33.88,97.57,17.38,84.54,55.74,82.43,56.72,85.59,77.77,72.04,48.3,70.35,6.48,40.58,36.98,37.87,81.94,28.43,92.28,25.12,87.14,35.54,16.86,39.52,38.77,26.87,16.57,76.55,36.21,25.5,74.01,98.37,65.06,4.09,31.89,82.17,65.21,30.99
706,Xã Lê Quý Đôn,17.85,91.14,84.24,78.98,33.84,97.81,49.48,60.5,50.23,46.05,26.98,81.54,25.09,81.37,48.5,66.2,10.79,16.79,33.26,50.31,55.78,79.42,45.56,57.9,96.51,46.51,42.29,59.71,78.43,68.72,19.03,68.24,54.18,90.01,21.87,31.98,29.42,14.6,74.1,93.67,85.46,77.26,52.91,50.45,11.25,22.01,66.07,11.62,21.12,74.57,64.25,11.41,98.92,59.25
707,Xã Liêm Hà,46.28,32.87,85.47,51.04,97.68,27.59,11.95,74.6,75.06,40.1,6.85,52.11,29.5,41.5,41.2,87.84,81.19,23.99,63.03,74,96.53,97.92,22.37,26.45,12.57,20.1,49.67,15.3,49.4,47.27,51.6,22.11,50.7,13.96,75.88,44.88,15.63,67.13,95.64,90.92,74.55,74.38,21.46,23.34,2.23,60.43,86.11,89.87,88.18,80.19,84.5,59.17,14.24,81.26
708,Xã Liên Bão,44.94,17.43,67.4,5.6,11.68,52.4,97.36,41.59,50.79,17.91,54.92,30.13,1.34,25.45,50.9,83.74,40.71,86.5,48.51,71.41,70.49,16.26,8.98,22.53,28.44,9.23,80.51,72.64,16.25,39.88,6.14,57.07,43.93,96.48,22.46,9.17,46.28,40.72,6.06,37.97,59.47,7.07,63.48,60.33,82.72,90.5,90.9,39.6,62.78,34.04,22.93,73.99,75.79,12.04
709,Xã Liên Châu,19.44,83.49,83.61,19.83,44.19,66.65,23.33,82.21,47.76,91.85,86.46,23.51,82.17,93.87,6.54,78.3,78.33,92.56,9.93,86.54,90.5,52.8,1.02,63.82,70.95,90.21,17.44,96.3,73.08,35.01,76.56,21.89,70.47,65.66,69.33,77.49,40.77,54.34,99.31,9.55,27.81,65.63,7.48,17.52,14.86,23.59,43.76,27.95,64.08,2.63,73.43,45.89,45.9,87.07
710,Xã Liên Hiệp,31.25,1.53,27.63,85.2,38.04,0.3,10.97,96.79,77.78,21.79,33.56,9.99,39.31,61.08,54.85,3.67,94.45,50.47,87.69,27.45,89.22,50.39,45.14,20.16,97.78,33.89,31.87,85,65.71,46.37,35.09,29.12,16.85,99.25,73.59,18.21,67.49,30.26,40.8,32.8,58.01,97.35,50.47,84.48,97.31,53.24,8.21,47.56,10.48,25.42,24.86,66.03,52.64,14.54
711,Xã Liên Hòa,34.57,49.19,27.38,9.44,9.89,2.31,18.82,93.04,2.59,65.7,56.99,72.23,61.2,18.34,1.55,88.59,49.78,9.67,97.35,69.54,93.82,21.45,80.36,90.84,68.8,45.98,82.43,91.17,81.45,89.03,95.22,75.67,88.22,6,33.59,48.12,45.57,64.03,39.8,66.03,90.76,36.39,10.29,78.32,90.43,3.87,21.59,28.8,36.44,87.9,93.75,95.38,26.64,21.91
712,Xã Liên Minh,31.64,61.44,46.1,10.45,72.29,10.86,13.47,63.78,9.06,79.16,47.42,96.05,13.14,58.41,7.22,64.72,77.69,71.26,72.72,94.55,97.95,33.39,81.82,2.46,93.24,99.59,3.42,43.1,26.29,92.31,52.32,85.33,46.39,96.19,8.52,45.11,45.3,22.58,88.68,39.49,81.77,88.17,67.36,39.84,58.11,85.62,98.66,97.48,63.05,65.27,0.61,57.26,12.48,87.94
715,Xã Liên Sơn,20.04,17.44,2.22,58.51,65.48,94.73,32.14,53.46,84.54,26.74,69.11,41.76,53.7,77.02,39.67,75.95,66.03,15.81,61.19,6.6,80.13,83.18,6.84,63,82.27,9.47,99.3,77.73,66.74,19.51,78.38,76.05,43.64,25.88,26.18,33.81,15.99,23.67,60.32,14.83,24.14,93.18,68.85,11.21,78.87,87.46,43.28,44.37,5.79,24.04,28.6,69.7,48.18,31.59
717,Xã Linh Hồ,6.04,46.33,40.86,98.67,44.89,71.83,70.18,21.31,68.17,89.37,71.89,43.97,61.44,37.11,41.88,3.83,26.97,37.24,26.21,15.59,50.22,59.67,92.88,98.99,97.42,88.02,13.87,29.61,58.39,21.58,9.19,87.73,32.65,75.71,51.29,93.19,64.86,1.52,9.62,8.84,27.57,83.67,94.62,60.31,70.23,46.25,83.37,81.06,44.21,1.54,10.2,47.42,16.31,23.28
718,Xã Lộc Bình,8.01,7.18,19.26,10.14,45.18,89.03,14.2,42.6,13.73,36.43,69.56,81.73,75.69,32.06,52.28,21.05,93.15,82.28,15.29,75.4,61.47,91.99,71.36,78.78,41.69,27.14,78.06,9.46,41.62,18.46,91.91,81.88,42,87.06,44.11,6.47,54.93,57.02,69.08,20.18,68.26,55.54,35.11,88.41,70.61,30.13,90.74,68.77,9.26,68.97,71.25,64.63,72.52,95.09
719,Xã Lợi Bác,42.14,8.82,6.25,78.36,19.93,78.01,51.76,34.37,83.82,54.39,10.98,78.54,58.76,95.83,19.54,62.56,25.76,84.19,96.68,77.42,54.68,32.54,18.34,73.97,50.64,43.32,99.36,73.19,36.52,62.45,64.12,14.96,91.61,1.18,46.64,97.44,43.05,95.32,18.25,73.23,41.96,82.28,97.4,65.99,43.12,76.12,90.54,5.44,31.41,36.04,87.07,60.43,70.73,50.62
720,Xã Long Cốc,29.26,39.14,13.14,48.61,76.09,49.92,85.01,7.44,23.3,87.12,76.63,14.36,75.41,17.48,66.01,7.3,26.96,57.41,16.66,0.76,16.48,69.73,73.69,14.79,98.78,23.14,89.92,61.75,52.29,69.88,80.5,70.01,69.07,53.84,95.76,51.73,11.9,64.68,42.2,92.08,28.92,34.42,20.01,68.34,41.75,70.51,46.63,71.66,92.03,66.06,79.02,90.47,70.18,71.11
721,Xã Long Hẹ,42.95,22.08,85.14,13.98,0.6,84.18,60.59,23.13,44.84,51.46,44.89,66.53,61.89,73.21,98.45,72.35,86.93,33.39,61.52,95.59,34.95,37.76,54.68,40.22,25.88,16.6,45.88,89.82,17.14,60.28,80.94,17.1,37.83,59.94,88.62,5.19,19.2,91.28,68.05,95.64,88.25,97.06,39.14,12.51,54.94,62.63,62.42,37.82,8,17.81,73.65,19.65,89.82,24.4
722,Xã Long Hưng,5.17,86.87,97.3,29.13,51.28,66.36,72.51,95.07,61.64,66.1,95.26,35.17,59.08,18.07,76.38,18.78,32.3,37.24,5.98,63.63,42.26,9.71,59.1,82.55,41.27,29.98,49.6,42.04,21.06,29.13,9.58,6.43,22.1,48.41,62.03,41.52,10.21,83.47,35.35,77.91,65.84,39.35,93.86,84.45,2.87,80.24,63.08,25.39,50.14,99.82,14.54,19.06,44.21,39.91
723,Xã Lóng Phiêng,35.3,63.51,26.83,28.93,75.41,39.44,89.08,79.89,60.57,77.35,93.45,75.13,77.38,38.92,85.31,34.58,92.78,88.4,53.77,7.58,34.06,84.93,96.98,13.92,79.94,69.67,70.53,0.46,22.88,55.64,82.77,85.66,19.65,39.99,72.39,88.39,64.09,16.16,41.31,86.57,28.05,19.86,5.78,30.11,39.26,96.86,72.98,14.78,59.02,68.9,56.53,72.41,69.82,31.81
